truckId,simulationId,tiempo
3321FBL,5d239b9a-3bac-46bd-b19a-7ef590c0a2db,"[491190.0, 1058790.0, 480180.0, 520950.0, 694350.0, 128580.0, 272280.0, 556980.0, 86580.0, 113640.0]"
3321FBL,640d734e-c3ae-4c53-a3a9-e2f87067343b,"[897810.0, 1417950.0, 1377960.0, 434220.0, 896220.0, 241980.0, 280080.0]"
3321FBL,6deec7b7-6c11-418c-a1bd-f99a9e3261b6,"[732630.0, 285150.0, 409110.0, 334350.0, 1428330.0, 1366590.0, 1602450.0, 254640.0, 136110.0, 1229220.0, 246450.0]"
3321FBL,6f5b7b1e-74c4-4c9a-a3b0-cb32fa412dec,"[780660.0, 149550.0, 797130.0, 192450.0, 640020.0, 1083450.0, 725250.0, 1419960.0, 340830.0, 983190.0, 1523340.0]"
3321FBL,76cb2988-3a44-44bf-8cd6-91f93dc68270,"[1507710.0, 1312230.0, 410850.0, 784290.0, 316980.0, 248550.0, 1287600.0]"
3321FBL,77227d86-31d7-4575-b55c-c88e6e389c0e,"[572580.0, 76140.0, 241650.0, 1600620.0, 2051820.0]"
3321FBL,7ab9795c-ae20-467b-a4b3-2dd62077bcf5,"[875730.0, 276750.0, 374550.0, 1227930.0, 1052190.0, 236850.0, 766890.0, 210540.0, 120810.0, 197910.0]"
3321FBL,7b2a7ee6-05a9-4a7b-bda0-a089ee2d58ec,"[893640.0, 783210.0, 305220.0, 1014420.0, 157650.0, 1147590.0, 1047630.0, 634620.0, 936600.0, 840090.0]"
3321FBL,7e1b471d-ff00-43de-b527-ce2871f8e74f,"[925290.0, 381390.0, 865650.0, 1067820.0, 751290.0, 954990.0, 643590.0, 544020.0, 330990.0]"
3321FBL,81acb266-ab82-497b-92d9-fae490cc4823,"[144780.0, 925890.0, 976590.0, 391380.0, 1031130.0, 164580.0, 1344930.0, 610530.0, 75240.0, 575880.0, 474150.0, 144180.0]"
3321FBL,8355efb1-34cf-4d53-b85a-535990793ffc,"[621870.0, 329700.0, 334290.0, 269130.0, 614160.0, 824790.0, 1438290.0, 1596930.0, 2513010.0, 1321260.0, 843750.0]"
